Ticker,AssetClass,Score,WeightPct,LiquidityRisk,RS3M,Trend200,DollarVolume,RawWeight,LiquidityAdjusted
CA0084741085,stock,114.25,11.81,0.1,0.282,0.3983,559783513.3,11.41,10.27
KEP,stock,104.7,9.62,0.2,0.3275,0.5042,11795695.65,10.45,8.36
US5006311063,stock,104.56,9.6,0.2,0.3275,0.5042,11795695.65,10.44,8.35
RHM.DE,stock,103.46,10.69,0.1,-0.0723,-0.0491,382892055.98,10.33,9.3
CA32076V1031,stock,100.42,10.38,0.1,0.9762,0.9768,76577439.85,10.03,9.02
GOOGL,stock,100.0,10.33,0.1,0.1014,0.3534,12250916388.4,9.98,8.99
CA9628791027,stock,99.54,10.29,0.1,0.3569,0.3622,154550239.54,9.94,8.95
GB00B2QPKJ12,stock,96.19,9.94,0.1,0.7308,0.786,5128619063.87,9.6,8.64
CA0539061030,stock,95.5,8.77,0.2,1.3895,1.2201,13521357.92,9.54,7.63
US98956A1051,stock,82.89,8.57,0.1,-0.1716,-0.0327,129719353.55,8.28,7.45
